Number,ApertureRA,ApertureDec,CentroidRA,CentroidDec,ApertureX,ApertureY,CentroidX,CentroidY,CentroidFlag,SourceIntensity,ApertureCorr,SourceUncertainty,DataUnits,Magnitude,MagUncertainty,SourceModel,SkyModel,SkyMedian,SkyMode,SkyAverage,SkyLocalNonAnnulusBkg,SkyRMS,SkyCustom,SkySigma,SkyScale,RadiusCentroid,ApertureMajorRadius,ApertureMinorRadius,ApertureRotationAngle,SkyRadiusInner,SkyRadiusOuter,ApertureNumPixels,ApertureNumRejected,SkyNumPixels,RadialProfileFWHM,Image
1,251.803660,-1.953678,251.803604,-1.953607,225,12,226.011,13.280,1,+4048.45,1.0000,+142.716,D.N.,-9.0182,+0.0383,0,B,19.329066,14.274666,24.304115,14.111352,27.953707,0.000000,13.824541,12.807808,5,5,5,0,8,15,79.04,0,480,4.84,C:\Users\lrf44\Desktop\M12_B.fits
2,251.799168,-1.953678,251.799142,-1.953633,306,12,306.473,12.824,1,+1692.64,1.0000,+73.7069,D.N.,-8.0714,+0.0473,0,B,14.006830,12.113345,16.496021,11.412874,18.219583,0.000000,7.743466,6.122133,5,5,5,0,8,15,79.04,0,473,4.15,C:\Users\lrf44\Desktop\M12_B.fits
3,251.784528,-1.953623,251.784509,-1.953565,570,13,570.353,14.052,1,+971.523,1.0000,+36.7087,D.N.,-7.4686,+0.0410,0,B,8.547476,8.183686,8.918499,7.936146,9.263402,0.000000,2.506755,1.948194,5,5,5,0,8,15,79.04,0,490,4.78,C:\Users\lrf44\Desktop\M12_B.fits
4,251.770055,-1.953623,251.769993,-1.953558,831,13,832.105,14.190,1,+457.656,1.0000,+32.9559,D.N.,-6.6513,+0.0782,0,B,8.064465,6.758383,9.182972,6.988471,10.058830,0.000000,4.109447,2.518644,5,5,5,0,8,15,79.04,0,490,4.81,C:\Users\lrf44\Desktop\M12_B.fits
5,251.769777,-1.953513,251.769993,-1.953558,836,15,832.104,14.190,1,+457.617,1.0000,+32.9554,D.N.,-6.6513,+0.0782,0,B,8.064465,6.758383,9.182972,6.965977,10.058830,0.000000,4.109447,2.518644,5,5,5,0,8,15,79.04,0,490,4.72,C:\Users\lrf44\Desktop\M12_B.fits
6,251.766395,-1.953623,251.766364,-1.953607,897,13,897.552,13.296,1,+308.706,1.0000,+25.6638,D.N.,-6.2239,+0.0903,0,B,8.021909,7.117584,8.416377,6.985144,8.744608,0.000000,2.375826,1.875068,5,5,5,0,8,15,79.04,0,479,4.58,C:\Users\lrf44\Desktop\M12_B.fits
7,251.762125,-1.953568,251.762133,-1.953509,974,14,973.855,15.067,1,+928.429,1.0000,+33.7574,D.N.,-7.4194,+0.0395,0,B,6.981759,5.849971,6.915011,6.332079,7.054023,0.000000,1.394865,1.466800,5,5,5,0,8,15,79.04,0,514,4.54,C:\Users\lrf44\Desktop\M12_B.fits
8,251.760627,-1.953734,251.760621,-1.953734,1001,11,1001.113,10.997,1,+415.357,1.0000,+25.1940,D.N.,-6.5461,+0.0659,0,B,7.146755,6.608712,7.119927,6.211177,7.268080,0.000000,1.461651,1.473124,5,5,5,0,8,15,79.04,0,445,3.75,C:\Users\lrf44\Desktop\M12_B.fits
9,251.759407,-1.953679,251.759380,-1.953593,1023,12,1023.488,13.548,1,+138.518,1.0000,+22.5359,D.N.,-5.3538,+0.1766,0,B,7.324229,6.278330,8.068982,6.091624,8.787379,0.000000,3.483436,1.930875,5,5,5,0,8,15,79.04,0,490,4.92,C:\Users\lrf44\Desktop\M12_B.fits
10,251.758853,-1.953623,251.758820,-1.953608,1033,13,1033.593,13.282,1,+928.021,1.0000,+35.2507,D.N.,-7.4189,+0.0412,0,B,7.591902,6.245614,7.746944,6.088983,7.972738,0.000000,1.885938,1.779766,5,5,5,0,8,15,79.04,0,484,4.29,C:\Users\lrf44\Desktop\M12_B.fits
11,251.757688,-1.953679,251.757681,-1.953663,1054,12,1054.125,12.295,1,+2190.47,1.0000,+50.0653,D.N.,-8.3513,+0.0248,0,B,7.581551,7.346991,7.829916,6.153923,8.089431,0.000000,2.034777,1.774505,5,5,5,0,8,15,79.04,0,460,3.92,C:\Users\lrf44\Desktop\M12_B.fits
12,251.754749,-1.953734,251.754730,-1.953677,1107,11,1107.352,12.033,1,+522.930,1.0000,+29.1920,D.N.,-6.7961,+0.0606,0,B,7.309613,6.674003,7.461782,6.224830,7.821441,0.000000,2.347067,1.811135,5,5,5,0,8,15,79.04,0,460,1.06,C:\Users\lrf44\Desktop\M12_B.fits
13,251.738834,-1.953734,251.738796,-1.953675,1394,11,1394.687,12.059,1,+542.947,1.0000,+28.0794,D.N.,-6.8369,+0.0561,0,B,7.105129,7.597082,7.150532,5.700188,7.375098,0.000000,1.808071,1.562855,5,5,5,0,8,15,79.04,0,457,1.63,C:\Users\lrf44\Desktop\M12_B.fits
14,251.736782,-1.953568,251.736788,-1.953540,1431,14,1430.884,14.504,1,+145.239,1.0000,+18.8956,D.N.,-5.4052,+0.1412,0,B,6.680631,6.671890,6.720724,5.913044,6.889798,0.000000,1.518446,1.468857,5,5,5,0,8,15,79.04,0,513,4.74,C:\Users\lrf44\Desktop\M12_B.fits
15,251.727299,-1.953679,251.727257,-1.953668,1602,12,1602.758,12.197,1,+172.981,1.0000,+18.9424,D.N.,-5.5950,+0.1189,0,B,6.786107,6.760498,6.835122,5.992975,6.967479,0.000000,1.353065,1.362843,5,5,5,0,8,15,79.04,0,467,14.85,C:\Users\lrf44\Desktop\M12_B.fits
16,251.782698,-1.953457,251.782718,-1.953434,603,16,602.641,16.425,1,+3793.40,1.0000,+64.6463,D.N.,-8.9476,+0.0185,0,B,9.048437,8.699528,9.442608,8.000647,9.747923,0.000000,2.422985,1.978057,5,5,5,0,8,15,79.04,0,502,1.18,C:\Users\lrf44\Desktop\M12_B.fits
17,251.806433,-1.953512,251.806419,-1.953496,175,15,175.249,15.286,1,+3626.98,1.0000,+275.857,D.N.,-8.8989,+0.0826,0,B,33.047873,23.627019,65.986460,16.476305,125.091583,0.000000,106.378640,27.090769,5,5,5,0,8,15,79.04,0,498,3.91,C:\Users\lrf44\Desktop\M12_B.fits
18,251.781645,-1.953513,251.781630,-1.953453,622,15,622.266,16.066,1,+1279.51,1.0000,+43.5793,D.N.,-7.7676,+0.0370,0,B,9.302069,9.283392,9.978576,8.100000,10.425970,0.000000,3.024420,2.506535,5,5,5,0,8,15,79.04,0,501,4.71,C:\Users\lrf44\Desktop\M12_B.fits
19,251.771108,-1.953568,251.771049,-1.953485,812,14,813.070,15.502,1,+154.234,1.0000,+20.4634,D.N.,-5.4705,+0.1440,0,B,7.500768,7.094612,7.630408,7.020018,7.817637,0.000000,1.702361,1.639601,5,5,5,0,8,15,79.04,0,507,3.28,C:\Users\lrf44\Desktop\M12_B.fits
20,251.770942,-1.953457,251.771049,-1.953484,815,16,813.065,15.513,1,+154.234,1.0000,+20.4634,D.N.,-5.4705,+0.1440,0,B,7.500768,7.094612,7.630408,6.995902,7.817637,0.000000,1.702361,1.639601,5,5,5,0,8,15,79.04,0,507,0.26,C:\Users\lrf44\Desktop\M12_B.fits
21,251.790129,-1.953235,251.790124,-1.953211,469,20,469.101,20.439,1,+40163.4,1.0000,+209.145,D.N.,-11.5096,+0.0057,0,B,16.773636,13.988858,18.367029,9.890256,19.249444,0.000000,5.766966,6.039591,5,5,5,0,8,15,79.04,0,515,3.93,C:\Users\lrf44\Desktop\M12_B.fits
22,251.717595,-1.953235,251.717576,-1.953219,1777,20,1777.337,20.290,1,+804.671,1.0000,+31.7764,D.N.,-7.2640,+0.0429,0,B,6.702273,5.826720,6.613941,5.428693,6.772887,0.000000,1.460114,1.445319,5,5,5,0,8,15,79.04,0,513,4.34,C:\Users\lrf44\Desktop\M12_B.fits
23,251.779648,-1.953402,251.779908,-1.953218,658,17,653.310,20.313,1,+1194.99,1.0000,+40.3178,D.N.,-7.6934,+0.0366,0,B,8.398142,7.669675,9.031593,7.929814,9.486273,0.000000,2.904569,2.089720,5,5,5,0,8,15,79.04,0,502,18.05,C:\Users\lrf44\Desktop\M12_B.fits
24,251.764565,-1.953291,251.764498,-1.953264,930,19,931.205,19.488,1,+707.084,1.0000,+30.3311,D.N.,-7.1237,+0.0466,0,B,7.477395,6.605309,7.471490,6.649961,7.620102,0.000000,1.499063,1.471784,5,5,5,0,8,15,79.04,0,510,4.53,C:\Users\lrf44\Desktop\M12_B.fits
25,251.752586,-1.953346,251.752515,-1.953342,1146,18,1147.294,18.087,1,+82.3476,1.0000,+16.6719,D.N.,-4.7891,+0.2198,0,B,6.467251,7.144125,6.513011,6.166965,6.659747,0.000000,1.391655,1.411567,5,5,5,0,8,15,79.04,0,513,4.28,C:\Users\lrf44\Desktop\M12_B.fits
26,251.752309,-1.953291,251.752516,-1.953341,1151,19,1147.275,18.103,1,+82.1670,1.0000,+16.6665,D.N.,-4.7867,+0.2202,0,B,6.467251,7.144125,6.513011,6.157024,6.659747,0.000000,1.391655,1.411567,5,5,5,0,8,15,79.04,0,513,1.99,C:\Users\lrf44\Desktop\M12_B.fits
27,251.802329,-1.953290,251.802254,-1.953275,249,19,250.355,19.283,1,+2377.79,1.0000,+74.1113,D.N.,-8.4404,+0.0338,0,B,14.463393,14.336457,16.185716,12.751637,17.237940,0.000000,5.936230,5.625173,5,5,5,0,8,15,79.04,0,506,4.67,C:\Users\lrf44\Desktop\M12_B.fits
28,251.779981,-1.953235,251.779909,-1.953219,652,20,653.299,20.302,1,+1184.65,1.0000,+40.1892,D.N.,-7.6840,+0.0368,0,B,8.398142,7.669675,9.031593,8.013264,9.486273,0.000000,2.904569,2.089720,5,5,5,0,8,15,79.04,0,502,4.77,C:\Users\lrf44\Desktop\M12_B.fits
29,251.739000,-1.953235,251.738983,-1.953215,1391,20,1391.306,20.365,1,+344.964,1.0000,+25.6650,D.N.,-6.3444,+0.0808,0,B,6.910127,7.346695,7.043195,5.699862,7.369522,0.000000,2.170850,1.784917,5,5,5,0,8,15,79.04,0,505,4.09,C:\Users\lrf44\Desktop\M12_B.fits
30,251.800832,-1.953235,251.800765,-1.953211,276,20,277.214,20.440,1,+1840.21,1.0000,+60.3263,D.N.,-8.1622,+0.0356,0,B,12.747554,12.033341,14.383314,12.003196,15.502591,0.000000,5.789418,4.271782,5,5,5,0,8,15,79.04,0,502,3.87,C:\Users\lrf44\Desktop\M12_B.fits
31,251.794122,-1.953291,251.794122,-1.953268,397,19,396.995,19.403,1,+1160.78,1.0000,+88.4121,D.N.,-7.6619,+0.0827,0,B,14.264488,11.102748,17.395260,10.764324,19.577509,0.000000,8.991356,8.218201,5,5,5,0,8,15,79.04,0,503,4.98,C:\Users\lrf44\Desktop\M12_B.fits
32,251.768280,-1.953236,251.768217,-1.953211,863,20,864.130,20.437,1,+210.952,1.0000,+21.0241,D.N.,-5.8105,+0.1082,0,B,7.293306,7.304954,7.403134,6.911570,7.589403,0.000000,1.672788,1.530918,5,5,5,0,8,15,79.04,0,502,4.77,C:\Users\lrf44\Desktop\M12_B.fits
33,251.759296,-1.953236,251.759257,-1.953165,1025,20,1025.705,21.276,1,+171.579,1.0000,+23.6617,D.N.,-5.5862,+0.1497,0,B,7.122667,5.317758,7.886888,5.966902,8.595383,0.000000,3.420658,1.984585,5,5,5,0,8,15,79.04,0,502,11.80,C:\Users\lrf44\Desktop\M12_B.fits
34,251.759296,-1.953014,251.759258,-1.953165,1025,24,1025.701,21.281,1,+171.579,1.0000,+23.6617,D.N.,-5.5862,+0.1497,0,B,7.122667,5.317758,7.886888,5.909568,8.595383,0.000000,3.420658,1.984585,5,5,5,0,8,15,79.04,0,502,0.28,C:\Users\lrf44\Desktop\M12_B.fits
35,251.749980,-1.953180,251.749963,-1.953147,1193,21,1193.313,21.598,1,+206.446,1.0000,+20.3719,D.N.,-5.7870,+0.1071,0,B,6.648909,7.334151,6.640937,6.049695,6.812345,0.000000,1.520036,1.457601,5,5,5,0,8,15,79.04,0,513,4.15,C:\Users\lrf44\Desktop\M12_B.fits
36,251.805934,-1.953069,251.805935,-1.953026,184,23,183.977,23.770,1,+38337.4,1.0000,+312.904,D.N.,-11.4591,+0.0089,0,B,37.451813,27.988866,51.090128,16.207251,63.785517,0.000000,38.226679,24.600716,5,5,5,0,8,15,79.04,0,506,4.49,C:\Users\lrf44\Desktop\M12_B.fits
37,251.787578,-1.953180,251.787552,-1.953109,515,21,515.469,22.281,1,+802.548,1.0000,+33.6219,D.N.,-7.2612,+0.0455,0,B,8.423482,7.675417,8.848648,8.625855,9.142868,0.000000,2.303031,1.825110,5,5,5,0,8,15,79.04,0,506,1.44,C:\Users\lrf44\Desktop\M12_B.fits
38,251.766838,-1.953069,251.766400,-1.952832,889,23,896.904,27.280,1,+677.046,1.0000,+31.7983,D.N.,-7.0765,+0.0510,0,B,7.483220,7.307761,7.864368,6.868133,8.167372,0.000000,2.206198,1.842281,5,5,5,0,8,15,79.04,0,506,1.80,C:\Users\lrf44\Desktop\M12_B.fits
39,251.735451,-1.952958,251.735413,-1.952931,1455,25,1455.679,25.489,1,+371.654,1.0000,+24.5990,D.N.,-6.4253,+0.0719,0,B,6.444169,5.999654,6.404388,6.237026,6.581878,0.000000,1.519673,1.542698,5,5,5,0,8,15,79.04,0,515,4.38,C:\Users\lrf44\Desktop\M12_B.fits
40,251.779537,-1.953014,251.779550,-1.952978,660,24,659.777,24.642,1,+766.808,1.0000,+40.9394,D.N.,-7.2117,+0.0580,0,B,8.607189,7.676447,9.990991,7.875509,10.915716,0.000000,4.401295,3.038043,5,5,5,0,8,15,79.04,0,504,5.10,C:\Users\lrf44\Desktop\M12_B.fits
41,251.769833,-1.952958,251.769801,-1.952923,835,25,835.580,25.647,1,+361.489,1.0000,+29.7550,D.N.,-6.3952,+0.0894,0,B,7.999236,6.753655,8.723644,6.875107,9.348782,0.000000,3.364549,2.306512,5,5,5,0,8,15,79.04,0,505,1.15,C:\Users\lrf44\Desktop\M12_B.fits
42,251.813753,-1.952847,251.813716,-1.952830,43,27,43.661,27.303,1,+6705.94,1.0000,+133.253,D.N.,-9.5661,+0.0216,0,B,20.885695,21.097854,23.843097,15.592805,26.637866,0.000000,11.889716,10.582851,5,5,5,0,8,15,79.04,0,500,4.27,C:\Users\lrf44\Desktop\M12_B.fits
43,251.766450,-1.952848,251.766399,-1.952832,896,27,896.914,27.281,1,+677.046,1.0000,+31.7983,D.N.,-7.0765,+0.0510,0,B,7.483220,7.307761,7.864368,6.816767,8.167372,0.000000,2.206198,1.842281,5,5,5,0,8,15,79.04,0,506,4.64,C:\Users\lrf44\Desktop\M12_B.fits
44,251.777486,-1.952792,251.777434,-1.952773,697,28,697.938,28.346,1,+1117.77,1.0000,+37.7188,D.N.,-7.6209,+0.0366,0,B,7.801671,8.030253,8.046935,7.287248,8.346924,0.000000,2.219863,1.758708,5,5,5,0,8,15,79.04,0,502,1.39,C:\Users\lrf44\Desktop\M12_B.fits
45,251.774380,-1.952792,251.774350,-1.952768,753,28,753.539,28.430,1,+1132.08,1.0000,+36.3310,D.N.,-7.6347,+0.0348,0,B,7.429873,8.203705,7.411426,7.035306,7.537896,0.000000,1.376355,1.382822,5,5,5,0,8,15,79.04,0,511,4.17,C:\Users\lrf44\Desktop\M12_B.fits
46,251.712881,-1.952514,251.712866,-1.952493,1862,33,1862.280,33.390,1,+15642.4,1.0000,+127.724,D.N.,-10.4858,+0.0089,0,B,8.849195,7.479952,9.277904,5.687862,9.672282,0.000000,2.736451,2.613865,5,5,5,0,8,15,79.04,0,512,4.15,C:\Users\lrf44\Desktop\M12_B.fits
47,251.809538,-1.952736,251.809105,-1.952170,119,29,126.803,39.210,1,+65878.7,1.0000,+325.726,D.N.,-12.0469,+0.0054,0,B,28.660913,18.311207,37.530957,17.576866,43.879825,0.000000,22.757282,20.205648,5,5,5,0,8,15,79.04,0,504,4.56,C:\Users\lrf44\Desktop\M12_B.fits
48,251.798115,-1.952681,251.797837,-1.952627,325,30,324.916,30.966,1,+32245.6,1.0000,+205.848,D.N.,-11.2712,+0.0069,0,B,17.910900,14.185557,21.963071,11.483175,25.190816,0.000000,12.349296,10.133554,5,5,5,0,8,15,79.04,0,501,4.60,C:\Users\lrf44\Desktop\M12_B.fits
49,251.797837,-1.952404,251.798120,-1.952627,330,35,324.895,30.967,1,+32233.8,1.0000,+205.820,D.N.,-11.2708,+0.0069,0,B,17.910900,14.185557,21.963071,11.518868,25.190816,0.000000,12.349296,10.133554,5,5,5,0,8,15,79.04,0,501,9.58,C:\Users\lrf44\Desktop\M12_B.fits
50,251.797560,-1.952127,251.798114,-1.952627,335,40,325.003,30.969,1,+32245.6,1.0000,+205.848,D.N.,-11.2712,+0.0069,0,B,17.910900,14.185557,21.963071,11.535913,25.190816,0.000000,12.349296,10.133554,5,5,5,0,8,15,79.04,0,501,5.23,C:\Users\lrf44\Desktop\M12_B.fits
51,251.791405,-1.952792,251.791408,-1.952732,446,28,445.942,29.084,1,+1514.97,1.0000,+53.9895,D.N.,-7.9510,+0.0387,0,B,12.927372,11.927815,14.162011,10.270817,15.033426,0.000000,5.048993,3.766716,5,5,5,0,8,15,79.04,0,500,4.11,C:\Users\lrf44\Desktop\M12_B.fits
52,251.727854,-1.952792,251.727837,-1.952853,1592,28,1592.298,26.896,1,+67.0590,1.0000,+17.2825,D.N.,-4.5661,+0.2798,0,B,6.294875,6.072628,6.297292,5.994364,6.460927,0.000000,1.446296,1.536050,5,5,5,0,8,15,79.04,0,513,2.29,C:\Users\lrf44\Desktop\M12_B.fits
53,251.725137,-1.952736,251.725120,-1.952664,1641,29,1641.300,30.301,1,+280.012,1.0000,+21.4420,D.N.,-6.1179,+0.0831,0,B,6.503004,6.043687,6.484258,6.005464,6.635436,0.000000,1.409716,1.352876,5,5,5,0,8,15,79.04,0,512,1.58,C:\Users\lrf44\Desktop\M12_B.fits
54,251.805213,-1.952570,251.805199,-1.952540,197,32,197.242,32.531,1,+22719.2,1.0000,+467.619,D.N.,-10.8910,+0.0223,0,B,38.699493,27.773183,82.594538,15.730331,134.530374,0.000000,106.297945,44.546434,5,5,5,0,8,15,79.04,0,498,0.80,C:\Users\lrf44\Desktop\M12_B.fits
55,251.797837,-1.952127,251.798124,-1.952627,330,40,324.838,30.969,1,+32233.8,1.0000,+205.820,D.N.,-11.2708,+0.0069,0,B,17.910900,14.185557,21.963071,11.610934,25.190816,0.000000,12.349296,10.133554,5,5,5,0,8,15,79.04,0,501,10.30,C:\Users\lrf44\Desktop\M12_B.fits
56,251.750701,-1.952737,251.750652,-1.952678,1180,29,1180.887,30.065,1,+67.8705,1.0000,+16.9527,D.N.,-4.5792,+0.2712,0,B,6.453499,6.886998,6.418819,6.063349,6.580654,0.000000,1.451872,1.493669,5,5,5,0,8,15,79.04,0,507,2.71,C:\Users\lrf44\Desktop\M12_B.fits
57,251.781090,-1.952681,251.781044,-1.952654,632,30,632.835,30.495,1,+797.760,1.0000,+41.0245,D.N.,-7.2547,+0.0558,0,B,9.451410,8.442408,10.721269,8.121742,11.771937,0.000000,4.866225,2.995951,5,5,5,0,8,15,79.04,0,501,4.27,C:\Users\lrf44\Desktop\M12_B.fits
58,251.768446,-1.952681,251.768421,-1.952634,860,30,860.463,30.857,1,+297.532,1.0000,+24.4395,D.N.,-6.1838,+0.0892,0,B,7.305024,7.480812,7.663860,6.809573,7.967535,0.000000,2.180886,1.745074,5,5,5,0,8,15,79.04,0,506,1.32,C:\Users\lrf44\Desktop\M12_B.fits
59,251.775212,-1.952626,251.775213,-1.952591,738,31,737.988,31.637,1,+276.861,1.0000,+22.1978,D.N.,-6.1057,+0.0870,0,B,7.258528,6.347589,7.438285,7.057429,7.681880,0.000000,1.921061,1.481214,5,5,5,0,8,15,79.04,0,507,3.79,C:\Users\lrf44\Desktop\M12_B.fits
60,251.755969,-1.952626,251.755961,-1.952568,1085,31,1085.141,32.044,1,+100.074,1.0000,+20.5069,D.N.,-5.0008,+0.2225,0,B,6.887362,6.901917,7.292208,6.213482,7.727146,0.000000,2.558431,1.802194,5,5,5,0,8,15,79.04,0,500,36.82,C:\Users\lrf44\Desktop\M12_B.fits
61,251.779038,-1.952570,251.779032,-1.952421,669,32,669.117,34.703,1,+658.813,1.0000,+32.0160,D.N.,-7.0469,+0.0528,0,B,7.943555,7.280254,8.581273,7.709281,9.136644,0.000000,3.140009,1.927313,5,5,5,0,8,15,79.04,0,502,49.48,C:\Users\lrf44\Desktop\M12_B.fits
62,251.779094,-1.952404,251.779036,-1.952422,668,35,669.036,34.680,1,+660.484,1.0000,+32.0421,D.N.,-7.0497,+0.0527,0,B,7.943555,7.280254,8.581273,7.714958,9.136644,0.000000,3.140009,1.927313,5,5,5,0,8,15,79.04,0,502,1.67,C:\Users\lrf44\Desktop\M12_B.fits
63,251.744989,-1.952404,251.744965,-1.952366,1283,35,1283.432,35.684,1,+802.242,1.0000,+32.3161,D.N.,-7.2608,+0.0437,0,B,6.426204,6.005123,6.426501,5.890477,6.624257,0.000000,1.608091,1.568863,5,5,5,0,8,15,79.04,0,508,0.68,C:\Users\lrf44\Desktop\M12_B.fits
64,251.730571,-1.952459,251.730554,-1.952405,1543,34,1543.310,34.978,1,+565.235,1.0000,+27.8065,D.N.,-6.8806,+0.0534,0,B,6.290247,5.830457,6.277491,6.215220,6.445775,0.000000,1.464683,1.455763,5,5,5,0,8,15,79.04,0,514,1.65,C:\Users\lrf44\Desktop\M12_B.fits
65,251.748816,-1.952404,251.748810,-1.952322,1214,35,1214.092,36.485,1,+151.503,1.0000,+17.9981,D.N.,-5.4511,+0.1290,0,B,6.216064,6.196234,6.233333,5.989898,6.368549,0.000000,1.306643,1.325061,5,5,5,0,8,15,79.04,0,512,4.50,C:\Users\lrf44\Desktop\M12_B.fits
66,251.810315,-1.952459,251.810373,-1.952143,105,34,103.952,39.700,1,+3962.93,1.0000,+151.045,D.N.,-8.9950,+0.0414,0,B,24.890085,18.293400,28.736290,17.212236,31.526026,0.000000,12.978786,13.838935,5,5,5,0,8,15,79.04,0,506,5.42,C:\Users\lrf44\Desktop\M12_B.fits
67,251.789408,-1.952182,251.789294,-1.951752,482,39,484.065,46.764,1,+18159.6,1.0000,+179.577,D.N.,-10.6478,+0.0107,0,B,16.349966,12.208733,22.737798,9.285052,27.515815,0.000000,15.511026,11.954134,5,5,5,0,8,15,79.04,0,502,4.51,C:\Users\lrf44\Desktop\M12_B.fits
68,251.771275,-1.952349,251.771260,-1.952285,809,36,809.267,37.154,1,+1003.40,1.0000,+35.0854,D.N.,-7.5037,+0.0380,0,B,6.781102,6.524990,6.928526,6.832570,7.098777,0.000000,1.546882,1.522319,5,5,5,0,8,15,79.04,0,512,4.36,C:\Users\lrf44\Desktop\M12_B.fits
69,251.771219,-1.952072,251.771262,-1.952284,810,41,809.231,37.171,1,+1005.04,1.0000,+35.1089,D.N.,-7.5055,+0.0379,0,B,6.781102,6.524990,6.928526,6.786169,7.098777,0.000000,1.546882,1.522319,5,5,5,0,8,15,79.04,0,512,11.70,C:\Users\lrf44\Desktop\M12_B.fits
70,251.756524,-1.952293,251.756468,-1.952277,1075,37,1076.006,37.298,1,+711.130,1.0000,+31.3301,D.N.,-7.1299,+0.0478,0,B,6.677845,5.982749,6.810782,6.127093,7.017727,0.000000,1.693321,1.659476,5,5,5,0,8,15,79.04,0,512,4.40,C:\Users\lrf44\Desktop\M12_B.fits
71,251.734231,-1.952404,251.734246,-1.952330,1477,35,1476.724,36.339,1,+190.378,1.0000,+20.7063,D.N.,-5.6990,+0.1181,0,B,6.192912,5.320361,6.150735,6.415881,6.330225,0.000000,1.498196,1.557965,5,5,5,0,8,15,79.04,0,512,0.94,C:\Users\lrf44\Desktop\M12_B.fits
72,251.708278,-1.952403,251.708194,-1.952306,1945,35,1946.517,36.753,1,+69.3832,1.0000,+17.8722,D.N.,-4.6031,+0.2797,0,B,6.225770,6.634640,6.275380,6.199500,6.471669,0.000000,1.583356,1.595312,5,5,5,0,8,15,79.04,0,511,0.71,C:\Users\lrf44\Desktop\M12_B.fits
73,251.776820,-1.952293,251.776811,-1.952238,709,37,709.156,37.993,1,+435.009,1.0000,+31.3185,D.N.,-6.5962,+0.0782,0,B,8.008359,7.269863,9.012650,7.120735,9.750478,0.000000,3.724439,2.354371,5,5,5,0,8,15,79.04,0,505,4.49,C:\Users\lrf44\Desktop\M12_B.fits
74,251.814695,-1.952071,251.814701,-1.952065,26,41,25.892,41.096,1,+5279.91,1.0000,+113.092,D.N.,-9.3066,+0.0233,0,B,21.132992,16.619977,24.184248,15.640045,26.727451,0.000000,11.390202,8.729556,5,5,5,0,8,15,79.04,0,503,0.99,C:\Users\lrf44\Desktop\M12_B.fits
75,251.769334,-1.952127,251.769291,-1.952082,844,40,844.774,40.804,1,+2738.58,1.0000,+54.7488,D.N.,-8.5938,+0.0217,0,B,7.450605,6.939628,7.631804,6.727135,7.847240,0.000000,1.827957,1.619717,5,5,5,0,8,15,79.04,0,500,4.48,C:\Users\lrf44\Desktop\M12_B.fits
76,251.769500,-1.951795,251.769295,-1.952083,841,46,844.693,40.795,1,+2743.03,1.0000,+54.7894,D.N.,-8.5956,+0.0217,0,B,7.450605,6.939628,7.631804,6.674682,7.847240,0.000000,1.827957,1.619717,5,5,5,0,8,15,79.04,0,500,5.67,C:\Users\lrf44\Desktop\M12_B.fits
77,251.746875,-1.952182,251.746867,-1.952123,1249,39,1249.140,40.066,1,+572.792,1.0000,+27.9220,D.N.,-6.8950,+0.0529,0,B,6.424229,6.625023,6.423673,5.942325,6.623606,0.000000,1.616701,1.450170,5,5,5,0,8,15,79.04,0,508,4.93,C:\Users\lrf44\Desktop\M12_B.fits
78,251.747762,-1.952127,251.747745,-1.952092,1233,40,1233.313,40.627,1,+171.143,1.0000,+20.0811,D.N.,-5.5834,+0.1274,0,B,6.200433,5.512257,6.288738,5.962899,6.470489,0.000000,1.524331,1.535877,5,5,5,0,8,15,79.04,0,507,1.74,C:\Users\lrf44\Desktop\M12_B.fits
79,251.715266,-1.952182,251.715293,-1.952132,1819,39,1818.508,39.908,1,+86.1824,1.0000,+18.2272,D.N.,-4.8385,+0.2296,0,B,6.101656,6.067091,6.264023,5.323180,6.483397,0.000000,1.673908,1.581640,5,5,5,0,8,15,79.04,0,508,1.11,C:\Users\lrf44\Desktop\M12_B.fits
80,251.810425,-1.952126,251.810374,-1.952143,103,40,103.925,39.696,1,+3974.09,1.0000,+151.082,D.N.,-8.9981,+0.0413,0,B,24.890085,18.293400,28.736290,17.139614,31.526026,0.000000,12.978786,13.838935,5,5,5,0,8,15,79.04,0,506,0.31,C:\Users\lrf44\Desktop\M12_B.fits
81,251.809150,-1.952182,251.809105,-1.952170,126,39,126.812,39.208,1,+65878.7,1.0000,+325.726,D.N.,-12.0469,+0.0054,0,B,28.660913,18.311207,37.530957,17.687744,43.879825,0.000000,22.757282,20.205648,5,5,5,0,8,15,79.04,0,504,4.42,C:\Users\lrf44\Desktop\M12_B.fits
82,251.776210,-1.952072,251.776185,-1.952043,720,41,720.453,41.512,1,+315.422,1.0000,+25.9960,D.N.,-6.2472,+0.0895,0,B,7.387794,5.963059,7.742945,7.065570,8.102150,0.000000,2.388096,1.911878,5,5,5,0,8,15,79.04,0,502,1.30,C:\Users\lrf44\Desktop\M12_B.fits
83,251.728852,-1.951850,251.728806,-1.951839,1574,45,1574.825,45.198,1,+1572.98,1.0000,+42.1594,D.N.,-7.9918,+0.0291,0,B,6.079531,5.814763,6.188688,5.969734,6.353677,0.000000,1.439928,1.443072,5,5,5,0,8,15,79.04,0,513,4.10,C:\Users\lrf44\Desktop\M12_B.fits
